Número de registro,Classe ,Ordem,Família,Espécie,Nome popular,Data de encontro,Horário,Tempo,Campus,Local de encontro,Ponto georeferencial,Latitude,Logitude,Hábitat,Microhabitat,Status do animal,Classe etária,Colaborador,@ do Instagram,Coletor,Destino,Como nos contatou?,Registrado por:,Foto ,Filme,Observações,,,,,,
LABEV 0556,Reptilia,Squamata,Iguanidae ,Iguana iguana ,Iguana,02/09/2025,15:30,-,Básico,Corredor que dá acesso ao clube de ciências no IEMCI,perto da porta interna que dá acesso à sala do clube. Estava atrás de uma caixa,,,Arborícola,,Vivo,Adulto,Jliana Diniz e Ariadne da Costa Peres-discentes e docente,@ariadnecperes,Ariadne,Mata Local,Whatsapp,Arthur,Sim,Não,,,,,,,
LABEV 0557,Reptilia,Squamata,Teiidae,Salvator merianae,Teiú,08/09/2025,12:55,Ensolarado,Profissional,ITEC,segundo pavimento a esquerda de quem sobe a escada,,,Terrestre,,Vivo,Adulto,Lucas Roberto,,,Espantado para fora do prédio,Whatsapp,Arthur,Não,Sim,,,,,,,
LABEV 0560,Mammalia,não idenficada,não idenficada,não idenficada,Morcego,19/09/2025,13:39,Ensolarado,Basico,Malocas do ICB,em frente ao anexo do icb,,,Aéreo,,VIvo,Adulto,,,,,Whatsapp,Arthur,Sim,Não,,,,,,,
LABEV 0559,Aves,Piciformes,Ramphastidae,Ramphastos tucanus,Tucano de papo branco,30/09/2025,12:42,Ensolarado,Básico ,Em frente do Museu de Geologia,Museu,,,Aéreo,,Vivo,Adulto,Bianca Nandyara,@biancanandyara,,,Whatsapp,Arthur,Sim,Não ,,,,,,,
LABEV 0561,Mammalia,Rondontia,Caviidae,Hydrochoerus hydrochaeris,Capivara,02/10/2025,06:51,Ensolarado,PCT,Em frente ao Espaço Inovação,Espaço Inovação ,,,Terrestre,,Morto,Adulto,,,,,Whatsapp,Arthur,SIm,Não,possivel vitima de atropelamento,,,,,,
LABEV 0563,Aves,não idenficada,não idenficada,não idenficada,Rolinha,17/10/2025,10:30,Ensolarado,Basico,no chão proximo a reitoria,Reitoria,,,Aéreo,,Vivo,Filhote,,,,Labev-filhote morreu,Whatsapp,Arthur,Não,Não,Morreu dias depois do resgate,,,,,,
LABEV 0562,Reptilia,Squamata,Boidae,Eunectes murinus,Sucuri,17/10/2025,14:57,Ensolarado,Profissional,Entre o NEB e ICSA,NEB e ICSA,,,Terrestre,,Vivo,Adulto,Wagner Alex Souza,@Wagner_lopes_0,"Mayssy Oliveira, Ana Beatriz Sousa, André Soares, Maria Cristina Costa e Iuri Luz",Igarapé proximo ao instituto de Eng. Naval,Whatsapp,Arthur,Sim,Não,"Fêmea de aproximadamente 4,2m e provavelmente grávida",,,,,,
LABEV 0564,Reptilia,Squamata,Viperidae,Bothrops atrox,jararaca,20/10/2025,12:30,Ensolarado,Profissional,Faculdade de Farmácia,-,,,terrestre," na vala de escoamento, estavam varrendo quando viram o animal",Vivo,adulto,profissionais da limpeza,,Guilherme Araújo e Ana Balata,animal será encamainhado ao Butantã,whatsapp-cartaz,Kita,sim,sim,,,,,,,
LABEV 0565,Reptilia,Squamata,Viperidae,Bothrops atrox,jararaca,23/10/2025,15:40,Ensolarado,Profissional,"em frente a faculdade de odonto, na borda da estrada principal",faculdade de odonto,,,terrestre,,Vivo,Filhote, Ivanilson dos Santos Fortes,ivanilsosantos250,Sarah,animal será encamainhado ao Butantã,Whatsapp,Arthur,Sim,Sim,,,,,,,
LABEV 0567,Aves,Paciformes,Ramphastidae,Pteroglossus aracari , tucanos-de-cinta,24/10/2025,21:30,Ensolarado,Profissional,no alto de um poste no bloco J,-,,,Aéreo,,Vivo,Adulto,?,@cecimmaycon,,,Whatsapp,Arthur,Sim,Não,,,,,,,
LABEV 0566,Reptilia,Squamata,Boidae,Eunectes murinus,Sucuri,24/10/2025,12:20,Ensolarado,Profissional,Entre o NEB e ICSA,NEB e ICSA,,,terrestre,,Vivo,Adulto,Camilla Pinheiro, camypnh,"Fernanda Monteiro, Mayssy Oliveira, CArlos Lira, Kita Costa",Igarapé proximo ao instituto de Eng. Naval,Whatsapp,Arthur,Sim,Sim,,,,,,,
LABEV 0568,Reptilia,Squamata,Iguanidae ,Iguana iguana ,Iguana,28/10/2025,13:53,Ensolarado,Profissional,de baixo da escada do ICSA,ICSA,,,terrestre,,VIvo,Filhote,,,"Jade de Sousa, Sarah Oliveira, Leonardo Abelem",Atrás do Ginásio da UFPA,Whatsapp,Arthur,Sim,Sim,,,,,,,
LABEV 0572,Reptilia,Squamata,Colubridae,Mastigodryas boddaerti,Cobra Cipó,04/11/2025,15:40,Ensolarado,Profissional,Bosquinho do Profissional,Ao lado da passarela da ponte,,,terrestre,,Vivo,Adulto,Davi,,,,Whatsapp,Arthur,Sim,Não,,,,,,,
LABEV 0571,Aves,Passeriformes,"Thraupidae,",Thraupis palmarum,Sanhaço do coqueiro,10/11/2025,10:50,Ensolarado,Básico,LBCH/UFPA,ICB ,,,Aéreo,,Vivo,Adulto,Carlos Favacho,@carlos.favacho1,,,Whatsapp,Arthur,Sim ,Sim,,,,,,,
LABEV 0569,Reptilia,Squamata,Colubridae,Pseudoboa coronata,Falsa Coral,10/11/2025,14:00,Ensolarado,Profissional,dentro do boeiro de água,Farmácia/Ufpa,,,terrestre,,vivo,Adulto, Felipe,,Maria Kita,,Whatsapp,Arthur,Sim,Não,,,,,,,
LABEV 0570,Reptilia,Squamata,Colubridae,Mastigodryas boddaerti,Cobra Cipó,12/11/2025,15:31,Ensolarado,Profissional,Bosque do ITEC,perto da orla,,,terrestre,,Vivo,Adulto,Gustavo Melo,,,,Whatsapp,Arthur,Sim,Não,,,,,,,
LABEV 0573,Aves,Piciformes,Ramphastidae,Pteroglossus bitorquatus bitorquatus,Araçari,23/11/2025,08:45,Ensolarado,Profissional,Instituto de Farmacia,Farmacia,,,Aéreo,,Vivo,Adulto,Wallan Paraiso,,"Geovanna, Ana Balata",proximo ao instituto de farmacia,Whatsapp,Arthur,Sim,Sim,Endemico e vulnerável,,,,,,
LABEV 0574,Mammalia,Pilosa,Myrmecophagydae,Tamandua tetradactyla,Tamandua-de-colete,24/11/2025,21:02,Ensolarado,Profissional, estacionamento da faculdade de arte visuais/bosquinho da ufpa,estacionamento do ateliê,,,aborícolo-terrestre,,vivo,Adulto, marcus vinicius ,@euvinitodo,,,Whatsapp,Arthur,Não,Sim,,,,,,,
LABEV 0575,Aves,Passeriformes,"Thraupidae,",Ramphocelus carbo,pipira-vermelha,03/12/2025,09:22,Ensolarado,Basico,próximo a área externa do museu de anatomia," -1.472696,-48.457335", -1.472696,-48.457335,Aéreo,,Vivo,Adulto, Luiz Augusto Padilha Santos ,@luiz_o_pato,,solto em frente ao anexo do icb,veio ao laboratório,Arthur,Sim,Sim,,,,,,,
LABEV 0576,Reptilia,Squamata,Iguanidae ,Iguana iguana ,Iguana,09/12/2025,15:07,Ensolarado,Basico, Capela Ecumênica UFPA,Mirante do Rio,,,aborícolo-terrestre,,Vivo,Adulto,Jamile Ketlen de Souza Solano,@ketlen7873,,,Whatsapp,Arthur,Sim,Não,Estava tomando banho de sol,,,,,,
LABEV 0577,Aves,Psittaciformes,Cacatuidae,Nymphicus hollandicus,Calopsita,10/12/2025,09:00,Ensolarado,Profissional,"bloco H, pavilhão de sala de aula ",pavilhão profissional,,,Aéreo,,Vivo,Adulto," Leila, empresa paraiso",,"Maria Cristina, Arthur Morais",Cetras,Whatsapp,Arthur,Sim,Sim,,,,,,,
LABEV 0578,Mammalia,Didelphimorphia,Didelphidae,Didelphis marsupialis,Gambá comum,11/12/2025,08:14,Ensolarado,Basico,entrada do campus da UFPA ,Portão 2,,,Arborícola,,morto,Adulto,Iuri Luz,@masurii_,,,Whatsapp,Arthur,Sim,Não,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,
